REGISTERENHETID,BRUKSENHETSID,SALGS_DOKUMENTAAR,SALGSBELOEP,BRUKSAREAL,POSTNUMMER,GATENAVN,BEBYGDAREAL,BRUKSENHETSTYPEKODE,ANTALLROM,DOKUMENTDATO
904734976,6251758017,2021,3500000,54,9008,Parkgata,612,Bolig,2,02/12/2021
904734979,6251758201,2021,7920000,105,9008,Parkgata,612,Bolig,3,15/11/2021
904734982,6251758202,2022,4775000,68,9008,Parkgata,612,Bolig,3,10/03/2022
904734985,6251758203,2022,5660000,74,9008,Parkgata,612,Bolig,2,01/08/2022
904734988,6251758204,2023,6700000,94,9008,Parkgata,612,Bolig,3,07/06/2023
904734991,6251758205,2021,5800000,87,9008,Parkgata,612,Bolig,3,15/11/2021
904734994,6251758206,2022,6400000,87,9008,Parkgata,612,Bolig,2,01/02/2022
904734997,6251758207,2022,5950000,78,9008,Parkgata,612,Bolig,3,13/06/2022
904735000,6251758208,2021,7700000,96,9008,Parkgata,612,Bolig,3,15/11/2021
904735003,6251758209,2022,7510000,91,9008,Parkgata,612,Bolig,3,18/05/2022
904735006,6397891717,2021,6400000,92,9008,Parkgata,612,Bolig,2,15/11/2021
904735009,6397891718,2021,10850000,123,9008,Parkgata,612,Bolig,3,09/11/2021
904735012,6397891719,2022,9050000,106,9008,Parkgata,612,Bolig,3,11/11/2022
904735018,6251998535,2021,12600000,138,9008,Parkgata,612,Bolig,4,15/11/2021
904735024,6251998538,2022,13100000,128,9008,Parkgata,612,Bolig,3,19/12/2022
3129431,61168347,2022,3350000,235,9027,Fagernesvegen,0,Bolig,4,09/12/2022
234272599,61005152,2021,4370000,85,9011,Ringkøbingvegen,0,Bolig,3,19/11/2021
280575613,508374807,2019,3050000,61,9024,Tomasjordnes,1064,Bolig,2,09/12/2019
234454311,61089682,2019,2690000,102,9024,Planetvegen,0,Bolig,4,05/04/2019
234454311,61089682,2019,2690000,102,9024,Planetvegen,0,Bolig,4,05/04/2019
234453661,60977490,2022,0,40,9015,Duevegen,0,Bolig,2,12/01/2022
259487371,490106090,2023,3960000,68,9020,Øvre Solligården,104,Bolig,3,02/01/2023
259487371,490106090,2023,3960000,68,9020,Øvre Solligården,104,Bolig,3,02/01/2023
234456301,61083615,2019,3350000,109,9022,Malmvegen,0,Bolig,4,24/06/2019
270059146,463530463,2021,3250000,127,9106,Straumsvegen,84,Bolig,5,01/11/2021
234456918,61089486,2022,2950000,49,9024,Planetvegen,0,Bolig,2,28/03/2022
346120219,527465364,2019,220000,65,9022,Gullvegen,645,Bolig,3,22/08/2019
346120219,527465364,2020,3550000,65,9022,Gullvegen,645,Bolig,3,07/10/2020
479354382,593220271,2023,0,108,9107,Oladalvegen,54,Bolig,4,14/03/2023
267802277,515952855,2022,7100000,105,9107,Ropnesvegen,4,Annet en bolig,1,11/11/2022
234453010,61082104,2020,2075000,62,9022,Gneisvegen,0,Bolig,2,06/05/2020
234453010,61082104,2020,2075000,62,9022,Gneisvegen,0,Bolig,2,06/05/2020
280575627,508374751,2019,2500000,47,9024,Tomasjordnes,1064,Bolig,2,27/06/2019
280575627,508374751,2019,2500000,47,9024,Tomasjordnes,1064,Bolig,2,27/06/2019
425900760,576830901,2021,0,39,9024,Tomasjordnes,977,Bolig,2,17/06/2021
280575601,508378398,2020,2530000,47,9024,Tomasjordnes,1064,Bolig,2,19/05/2020
280575598,508378871,2021,0,56,9024,Tomasjordnes,1064,Bolig,2,06/04/2021
280575598,508378871,2022,3250000,56,9024,Tomasjordnes,1064,Bolig,2,25/05/2022
280575615,508376019,2019,325000,81,9024,Tomasjordnes,1064,Bolig,4,15/01/2019
280575620,508374802,2023,2875000,47,9024,Tomasjordnes,1064,Bolig,2,26/05/2023
280575618,508374804,2023,2990000,47,9024,Tomasjordnes,1064,Bolig,2,29/08/2023
4249713,60948494,2023,4950000,109,9012,Brinkvegen,746,Bolig,4,14/04/2023
234455680,60921461,2023,2525000,59,9013,Edderdunvegen,0,Bolig,2,07/07/2023
234455680,60921461,2023,2525000,59,9013,Edderdunvegen,0,Bolig,2,07/07/2023
4309616,61044639,2022,2900000,60,9008,Skippergata,382,Bolig,2,15/06/2022
674126640,6272123388,2019,6390000,174,9020,Fløyvegen,178,Bolig,5,19/12/2019
674126643,6272122727,2020,6200000,169,9020,Fløyvegen,178,Bolig,5,24/01/2020
674126646,6272122726,2019,5190000,129,9020,Fløyvegen,178,Bolig,4,19/12/2019
888744713,6362957489,2021,5880000,141,9020,Iver Walnums veg,156,Bolig,3,21/09/2021
888744716,6362957520,2021,5500000,114,9020,Iver Walnums veg,156,Bolig,4,12/07/2021
888744719,6362957521,2022,8450000,157,9020,Iver Walnums veg,156,Bolig,4,21/01/2022
234456286,61083716,2022,2650000,50,9022,Malmvegen,0,Bolig,2,02/09/2022
4098019,60876864,2019,3750000,131,9020,Hans Nilsens veg,162,Bolig,3,27/12/2019
4098019,60876864,2019,3750000,131,9020,Hans Nilsens veg,162,Bolig,3,27/12/2019
4178389,61030749,2019,1125000,46,9008,Sjøgata,0,Bolig,3,08/04/2019
4178389,61030749,2021,2550000,46,9008,Sjøgata,0,Bolig,3,27/10/2021
4148953,61053155,2020,2400000,42,9008,Skolegata,0,Bolig,2,12/08/2020
234451915,61045840,2023,3150000,110,9018,Utsikten,0,Bolig,4,14/06/2023
234451915,61045840,2023,3150000,110,9018,Utsikten,0,Bolig,4,14/06/2023
3612079,563285498,2020,1250000,27,9023,Ullstindvegen,27,Fritidsbolig,1,06/11/2020
3612079,563285498,2020,1250000,27,9023,Ullstindvegen,27,Fritidsbolig,1,06/11/2020
234454461,588199586,2023,2075000,42,9006,Sjøstranda,427,Bolig,2,26/07/2023
4168828,60925604,2019,3650000,82,9020,Solstrandvegen,195,Bolig,3,12/12/2019
4097955,60815701,2019,2280000,45,9024,Tomasjordvegen,1,Bolig,2,14/01/2019
4099482,61017312,2022,3750000,84,9011,Haakon VII's gate,0,Bolig,3,01/04/2022
4212002,60937480,2019,2660000,56,9101,Slettavegen,0,Bolig,2,04/10/2019
276168482,468839675,2022,3700000,66,9007,Hjalmar Johansens gate,713,Bolig,3,05/10/2022
294874932,534189719,2023,180000,67,9022,Gullvegen,708,Bolig,2,16/08/2023
